	color	proba car	proba bike	proba bikesharing	proportion
Schueler	lightblue	0.05	0.8	0.0	0.1
Studierende	blue	0.25	0.8	0.8	0.2
Arbeitnehmer	green	0.8	0.7	0.7	0.2
Heimzentrierte	orange	0.3	0.4	0.4	0.2
Fuehrungskraefte	yellow	0.9	0.4	0.4	0.1
Rentner	darkorange	0.5	0.3	0.3	0.2
