,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Schueler,RM,RM,RM,RM,RM,RM,HS,HS,HS,HS,HS,HS,HS,HS,Cultural,Cultural,Cultural,Cultural,Cultural,Cultural,Cultural,RM,RM,RM
Studierende,RM,RM,RM,RM,RM,RM,RM,RM,RM,Uni,Uni,Uni,Uni,Uni,Uni,Uni,Cultural|Park,Cultural|Park,RM,RM,Cultural,RM,RM,RM
Arbeitnehmer,RM,RM,RM,RM,RM,RM,RM,OM,OM,OM,OM,OM,OM,OM,OM,OM,OM|Park,OM|Park,OM|Park,RM,Cultural,RM|Restaurant,RM|Restaurant,RM
Heimzentrierte,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,Cultural|RM,Cultural|OM,Cultural|OM,Cultural|OM,Cultural|Park,Cultural|Park,Cultural|Park,Cultural|Park,RM,Cultural,RM|Restaurant,RM,RM
Fuehrungskraefte,RM,RM,RM,RM,RM,RM,RM,O,O,OM,OM,OM,OM,OM,OM,OM,OM,OM,Cultural,Cultural,Cultural,RM|Restaurant,RM,RM
Rentner,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM|Park,RM|Park,RM,RM,Cultural,RM|Restaurant,RM,RM
